id,user_id,time,lat,lng,type,inf,falsePostive,out,sim_id,peer_id,contact_length,quiz_id,modifier,score
254422,642,1604350874,0,0,infection,PEER[c8c69749-0911-4658-96c5-9ce985a22fc0:0],,,33,,0,0,,0
253056,1425,1604349117,0,0,infection,PEER[c8c69749-0911-4658-96c5-9ce985a22fc0:0],,,33,,0,0,,0
249775,1423,1604345221,0,0,infection,PEER[c8c69749-0911-4658-96c5-9ce985a22fc0:0],,,33,,0,0,,0
247984,1421,1604342929,0,0,infection,PEER[c8c69749-0911-4658-96c5-9ce985a22fc0:0],,,33,,0,0,,0
247983,1420,1604342929,0,0,infection,PEER[c8c69749-0911-4658-96c5-9ce985a22fc0:0],,,33,,0,0,,0
245031,834,1604338894,0,0,infection,PEER[c8c69749-0911-4658-96c5-9ce985a22fc0:0],,,33,,0,0,,0
336687,834,1604584431,0,0,infection,CASE0[0],,,33,,0,0,,0
333318,611,1604471555,0,0,infection,CASE0[0],,,33,,0,0,,0
329617,922,1604461999,0,0,infection,CASE0[0],,,33,,0,0,,0
326020,834,1604455867,0,0,infection,CASE0[0],,,33,,0,0,,0
321694,798,1604450220,0,0,infection,CASE0[0],,,33,,0,0,,0
318020,1385,1604445567,0,0,infection,CASE0[0],,,33,,0,0,,0
289311,771,1604403226,0,0,infection,CASE0[0],,,33,,0,0,,0
288224,1104,1604400604,0,0,infection,CASE0[0],,,33,,0,0,,0
307067,634,1604431168,0,0,infection,CASE0[0],,,33,,0,0,,0
281237,806,1604385627,0,0,infection,CASE0[0],,,33,,0,0,,0
279564,808,1604383139,0,0,infection,CASE0[0],,,33,,0,0,,0
279178,750,1604382590,0,0,infection,CASE0[0],,,33,,0,0,,0
256404,722,1604353779,0,0,infection,CASE0[0],,,33,,0,0,,0
241862,602,1604334498,0,0,infection,CASE0[0],,,33,,0,0,,0
237654,1414,1604327990,0,0,infection,CASE0[0],,,33,,0,0,,0
235967,795,1604324637,0,0,infection,CASE0[0],,,33,,0,0,,0
227416,1185,1604304707,0,0,infection,CASE0[0],,,33,,0,0,,0
178317,839,1604227254,0,0,infection,CASE0[0],,,33,,0,0,,0
177237,844,1604224789,0,0,infection,CASE0[0],,,33,,0,0,,0
172723,834,1604215716,0,0,infection,CASE0[0],,,33,,0,0,,0
215656,833,1604286412,0,0,infection,CASE0[0],,,33,,0,0,,0
212467,780,1604282496,0,0,infection,CASE0[0],,,33,,0,0,,0
208274,876,1604276805,0,0,infection,CASE0[0],,,33,,0,0,,0
203316,621,1604270414,0,0,infection,CASE0[0],,,33,,0,0,,0
138814,772,1604174512,0,0,infection,CASE0[0],,,33,,0,0,,0
102540,735,1604119478,0,0,infection,CASE0[0],,,33,,0,0,,0
91412,768,1604109455,0,0,infection,CASE0[0],,,33,,0,0,,0
87299,740,1604105692,0,0,infection,CASE0[0],,,33,,0,0,,0
85127,633,1604103836,0,0,infection,CASE0[0],,,33,,0,0,,0
47185,634,1604068610,0,0,infection,CASE0[0],,,33,,0,0,,0
43295,722,1604061109,0,0,infection,CASE0[0],,,33,,0,0,,0
24616,668,1604025353,0,0,infection,CASE0[0],,,33,,0,0,,0
18672,788,1604016566,0,0,infection,CASE0[0],,,33,,0,0,,0
41249,922,1604056130,0,0,infection,CASE0[0],,,33,,0,0,,0
32089,828,1604036438,0,0,infection,CASE0[0],,,33,,0,0,,0
27806,726,1604029709,0,0,infection,CASE0[0],,,33,,0,0,,0
18167,602,1604010294,0,0,infection,CASE0[0],,,33,,0,0,,0
17106,796,1603985351,0,0,infection,CASE0[0],,,33,,0,0,,0
16972,774,1603978463,0,0,infection,CASE0[0],,,33,,0,0,,0
16970,722,1603978455,0,0,infection,CASE0[0],,,33,,0,0,,0
17044,630,1603982100,0,0,infection,CASE0[0],,,33,,0,0,,0
17038,742,1603981831,0,0,infection,CASE0[0],,,33,,0,0,,0
17058,709,1603979956,0,0,infection,CASE0[0],,,33,,0,0,,0
337955,838,1604770260,0,0,falsePositive,,-,,33,,0,0,,0
337952,838,1604770225,0,0,falsePositive,,+,,33,,0,0,,0
337927,838,1604768935,0,0,falsePositive,,-,,33,,0,0,,0
337926,838,1604768925,0,0,falsePositive,,+,,33,,0,0,,0
337925,838,1604768761,0,0,falsePositive,,-,,33,,0,0,,0
337924,838,1604768745,0,0,falsePositive,,+,,33,,0,0,,0
337920,838,1604768588,0,0,falsePositive,,-,,33,,0,0,,0
337917,838,1604768402,0,0,falsePositive,,+,,33,,0,0,,0
337907,838,1604766869,0,0,falsePositive,,-,,33,,0,0,,0
337906,838,1604766841,0,0,falsePositive,,+,,33,,0,0,,0
337905,838,1604766785,0,0,falsePositive,,-,,33,,0,0,,0
337904,838,1604766767,0,0,falsePositive,,+,,33,,0,0,,0
337903,838,1604766690,0,0,falsePositive,,-,,33,,0,0,,0
337902,838,1604766656,0,0,falsePositive,,+,,33,,0,0,,0
337897,838,1604766213,0,0,falsePositive,,-,,33,,0,0,,0
337896,838,1604766201,0,0,falsePositive,,+,,33,,0,0,,0
337888,838,1604764861,0,0,falsePositive,,-,,33,,0,0,,0
337887,838,1604764820,0,0,falsePositive,,+,,33,,0,0,,0
337882,838,1604761813,0,0,falsePositive,,-,,33,,0,0,,0
337881,838,1604761811,0,0,falsePositive,,+,,33,,0,0,,0
337880,838,1604761725,0,0,falsePositive,,-,,33,,0,0,,0
337879,838,1604761711,0,0,falsePositive,,+,,33,,0,0,,0
337878,838,1604761675,0,0,falsePositive,,-,,33,,0,0,,0
337877,838,1604761659,0,0,falsePositive,,+,,33,,0,0,,0
337876,838,1604761587,0,0,falsePositive,,+,,33,,0,0,,0
337875,838,1604761587,0,0,falsePositive,,-,,33,,0,0,,0
337835,838,1604491448,0,0,falsePositive,,+,,33,,0,0,,0
337834,838,1604491475,0,0,falsePositive,,-,,33,,0,0,,0
337833,838,1604491667,0,0,outcome,,,ESCAPED,33,,0,0,,0
337832,838,1604734141,0,0,falsePositive,,+,,33,,0,0,,0
337831,838,1604734141,0,0,falsePositive,,-,,33,,0,0,,0
337654,919,1604671132,0,0,falsePositive,,-,,33,,0,0,,0
337653,919,1604671122,0,0,falsePositive,,+,,33,,0,0,,0
