{
{TIME:1568176792,OUT:DEAD},
{TIME:1568176770,LOC:(31.2414079;121.5862522)},
{TIME:1568176749,LOC:(31.2414198;121.5862483)},
{TIME:1568176729,LOC:(31.2414328;121.5862557)},
{TIME:1568176698,LOC:(31.2414067;121.5862615)},
{TIME:1568176681,LOC:(31.2414181;121.5862487)},
{TIME:1568176664,LOC:(31.2412757;121.5863137)},
{TIME:1568176638,LOC:(31.2413199;121.586503)},
{TIME:1568176626,LOC:(31.2413247;121.5862105)},
{TIME:1568176606,LOC:(31.2412904;121.5862183)},
{TIME:1568176565,LOC:(31.2412783;121.5862165)},
{TIME:1568176545,LOC:(31.2412758;121.5862014)},
{TIME:1568176017,LOC:(31.2412785;121.5862163)},
{TIME:1568175937,LOC:(31.2412948;121.586209)},
{TIME:1568175877,LOC:(31.2412847;121.5862094)},
{TIME:1568175855,LOC:(31.2392225;121.5807024)},
{TIME:1568175817,LOC:(31.2412784;121.5862164)},
{TIME:1568175797,LOC:(31.2412949;121.5862094)},
{TIME:1568175496,LOC:(31.2412785;121.5862164)},
{TIME:1568175411,LOC:(31.2392225;121.5807024)},
{TIME:1568175392,LOC:(31.2412787;121.5862168)},
{TIME:1568175349,LOC:(31.2392225;121.5807024)},
{TIME:1568175268,LOC:(31.2412788;121.586217)},
{TIME:1568174937,LOC:(31.2392225;121.5807024)},
{TIME:1568174916,LOC:(31.2412795;121.5862007)},
{TIME:1568174896,LOC:(31.2412788;121.5862165)},
{TIME:1568174874,LOC:(31.2392225;121.5807024)},
{TIME:1568174851,INF:PEER[903ae526-949d-453a-a8ba-50da170f4e99]},
{TIME:1568174811,LOC:(31.2412784;121.5862168)},
{TIME:1568174789,LOC:(31.2413199;121.586503)},
{TIME:1568174769,LOC:(31.2413604;121.5863368)},
{TIME:1568174749,LOC:(31.2414308;121.5862446)},
{TIME:1568174726,LOC:(31.2397086;121.578919)},
{TIME:1568174686,LOC:(31.2415233;121.5864092)},
