{
{TIME:1552590841,OUT:DEAD},
{TIME:1552590809,LOC:(27.3396457;-82.3994126)},
{TIME:1552590789,LOC:(27.3396085;-82.3992478)},
{TIME:1552590769,LOC:(27.3395218;-82.3992516)},
{TIME:1552590710,LOC:(27.3396081;-82.399382)},
{TIME:1552590689,LOC:(27.3395173;-82.3994097)},
{TIME:1552590669,LOC:(27.3395019;-82.3994155)},
{TIME:1552590649,LOC:(27.3395099;-82.3994093)},
{TIME:1552590646,LOC:(27.3395047;-82.3994222)},
{TIME:1552590631,LOC:(27.3395966;-82.3993729)},
{TIME:1552590609,LOC:(27.3395393;-82.3993137)},
{TIME:1552590589,LOC:(27.3395281;-82.3993168)},
{TIME:1552590571,LOC:(27.3395709;-82.399356)},
{TIME:1552590549,LOC:(27.339547;-82.3994207)},
{TIME:1552590529,LOC:(27.339489;-82.3994522)},
{TIME:1552590509,LOC:(27.3394932;-82.3994771)},
{TIME:1552590489,LOC:(27.3395499;-82.3993554)},
{TIME:1552590449,LOC:(27.339598;-82.3993688)},
{TIME:1552590429,LOC:(27.3395582;-82.3993439)},
{TIME:1552590349,LOC:(27.3394662;-82.3992926)},
{TIME:1552590329,LOC:(27.3394696;-82.399338)},
{TIME:1552590309,LOC:(27.339569;-82.3994395)},
{TIME:1552590289,LOC:(27.3399238;-82.3993776)},
{TIME:1552590269,LOC:(27.3399602;-82.3994316)},
{TIME:1552590249,LOC:(27.3399612;-82.3994472)},
{TIME:1552590229,LOC:(27.3397911;-82.3994461)},
{TIME:1552590220,LOC:(27.3388038;-82.4036565)},
{TIME:1552590100,LOC:(27.3390617;-82.4083995)},
{TIME:1552590069,LOC:(27.3404108;-82.3992287)},
{TIME:1552590049,LOC:(27.3405148;-82.399259)},
{TIME:1552589871,LOC:(27.3405309;-82.3992864)},
{TIME:1552589820,LOC:(27.3390617;-82.4083995)},
{TIME:1552589769,LOC:(27.339599;-82.399548)},
{TIME:1552589751,LOC:(27.3396259;-82.3995798)},
{TIME:1552589671,LOC:(27.3398162;-82.3995069)},
{TIME:1552589651,LOC:(27.3397911;-82.3995076)},
{TIME:1552589631,LOC:(27.3397514;-82.3995356)},
{TIME:1552589589,LOC:(27.3399653;-82.3994311)},
{TIME:1552589569,LOC:(27.3399708;-82.3994427)},
{TIME:1552589549,LOC:(27.3399662;-82.3994324)},
{TIME:1552589529,LOC:(27.3399868;-82.3993829)},
{TIME:1552589509,LOC:(27.3399847;-82.3994156)},
{TIME:1552589429,LOC:(27.3398426;-82.3994074)},
{TIME:1552589411,LOC:(27.3398586;-82.3994541)},
{TIME:1552589389,LOC:(27.3397877;-82.3995399)},
{TIME:1552589371,LOC:(27.3400248;-82.3994966)},
{TIME:1552589351,LOC:(27.3400393;-82.3995459)},
{TIME:1552589329,LOC:(27.3398985;-82.3995152)},
{TIME:1552589309,LOC:(27.3398228;-82.3995062)},
{TIME:1552589289,LOC:(27.3397505;-82.39952)},
{TIME:1552589271,LOC:(27.3396506;-82.3994692)},
{TIME:1552589251,LOC:(27.3396527;-82.399424)},
{TIME:1552589202,LOC:(27.3395821;-82.3992922)},
{TIME:1552589149,LOC:(27.3395431;-82.3992845)},
{TIME:1552589071,LOC:(27.3396896;-82.3994767)},
{TIME:1552589049,LOC:(27.3396033;-82.3995061)},
{TIME:1552589029,LOC:(27.3395565;-82.3993431)},
{TIME:1552589030,INF:PEER[5251693e-0320-4135-be0c-52d2c0caecf4]},
{TIME:1552589022,LOC:(27.3395354;-82.3993045)},
{TIME:1552589000,LOC:(27.3381105;-82.4043341)},
{TIME:1552588935,LOC:(27.3395492;-82.3993197)},
}
