{
{TIME:1552587635,OUT:DEAD},
{TIME:1552587615,LOC:(27.3395126;-82.399438)},
{TIME:1552587592,LOC:(27.3395122;-82.3994108)},
{TIME:1552587577,LOC:(27.3395135;-82.3994365)},
{TIME:1552587557,LOC:(27.3395268;-82.3993947)},
{TIME:1552587537,LOC:(27.3395203;-82.3993738)},
{TIME:1552587506,LOC:(27.3395021;-82.3993076)},
{TIME:1552587405,LOC:(27.3394748;-82.3992982)},
{TIME:1552587376,LOC:(27.3394913;-82.399293)},
{TIME:1552587356,LOC:(27.339501;-82.3993041)},
{TIME:1552587336,LOC:(27.3394917;-82.399294)},
{TIME:1552587325,LOC:(27.3394668;-82.3992938)},
{TIME:1552587290,LOC:(27.3394884;-82.3993016)},
{TIME:1552587275,LOC:(27.3394707;-82.3992841)},
{TIME:1552587270,LOC:(27.3394919;-82.3992922)},
{TIME:1552587196,LOC:(27.3394787;-82.3992894)},
{TIME:1552587181,LOC:(27.3394913;-82.3992929)},
{TIME:1552587145,LOC:(27.3398399;-82.3995151)},
{TIME:1552587134,LOC:(27.3405247;-82.3992549)},
{TIME:1552587125,LOC:(27.3405138;-82.3992629)},
{TIME:1552587062,LOC:(27.3404922;-82.399262)},
{TIME:1552587023,LOC:(27.3404466;-82.3992088)},
{TIME:1552587002,LOC:(27.3404671;-82.3992134)},
{TIME:1552586992,LOC:(27.3404517;-82.3992243)},
{TIME:1552586953,LOC:(27.340472;-82.3992222)},
{TIME:1552586907,LOC:(27.3404446;-82.3992099)},
{TIME:1552586893,LOC:(27.3404494;-82.3992252)},
{TIME:1552586852,LOC:(27.3405309;-82.3992864)},
{TIME:1552586852,LOC:(27.3395403;-82.4172071)},
{TIME:1552586762,LOC:(27.3405309;-82.3992864)},
{TIME:1552586547,LOC:(27.3395403;-82.4172071)},
{TIME:1552586527,LOC:(27.3405309;-82.3992864)},
{TIME:1552586486,LOC:(27.3405113;-82.3992822)},
{TIME:1552586466,LOC:(27.34041;-82.3993064)},
{TIME:1552586439,LOC:(27.3404254;-82.3992518)},
{TIME:1552586418,LOC:(27.3405194;-82.3992837)},
{TIME:1552586398,LOC:(27.3405309;-82.3992864)},
{TIME:1552586295,LOC:(27.3385526;-82.4124647)},
{TIME:1552586277,LOC:(27.3405309;-82.3992864)},
{TIME:1552586234,LOC:(27.3385526;-82.4124647)},
{TIME:1552586214,LOC:(27.3344048;-82.4033177)},
{TIME:1552586194,LOC:(27.3385526;-82.4124647)},
{TIME:1552586173,LOC:(27.3344048;-82.4033177)},
{TIME:1552586155,LOC:(27.3405309;-82.3992864)},
{TIME:1552586134,LOC:(27.3429992;-82.3974811)},
{TIME:1552585990,LOC:(27.3385526;-82.4124647)},
{TIME:1552585972,LOC:(27.3404575;-82.3991964)},
{TIME:1552585950,LOC:(27.3385526;-82.4124647)},
{TIME:1552585931,LOC:(27.3405309;-82.3992864)},
{TIME:1552585911,LOC:(27.3385315;-82.3969252)},
{TIME:1552585848,LOC:(27.3385526;-82.4124647)},
{TIME:1552585826,INF:PEER[8d4d1089-00ca-46de-93a1-446a279d1b8f]},
{TIME:1552585822,LOC:(27.3429424;-82.3973805)},
{TIME:1552585799,LOC:(27.3385526;-82.4124647)},
{TIME:1552585753,LOC:(27.3405309;-82.3992864)},
{TIME:1552585731,LOC:(27.3385526;-82.4124647)},
{TIME:1552585713,LOC:(27.3405309;-82.3992864)},
{TIME:1552585670,LOC:(27.3385526;-82.4124647)},
{TIME:1552585650,LOC:(27.3344048;-82.4033177)},
{TIME:1552585569,LOC:(27.3385526;-82.4124647)},
{TIME:1552585549,LOC:(27.3429424;-82.3973805)},
{TIME:1552585508,LOC:(27.3344048;-82.4033177)},
{TIME:1552585427,LOC:(27.3385526;-82.4124647)},
{TIME:1552585407,LOC:(27.3405309;-82.3992864)},
{TIME:1552585386,LOC:(27.3344048;-82.4033177)},
{TIME:1552585366,LOC:(27.3385526;-82.4124647)},
{TIME:1552585286,LOC:(27.3405309;-82.3992864)},
}
