{
{TIME:1552587890,OUT:DEAD},
{TIME:1552587856,LOC:(27.3394718;-82.3994001)},
{TIME:1552587834,LOC:(27.3395121;-82.3994133)},
{TIME:1552587804,LOC:(27.3394865;-82.3994294)},
{TIME:1552587775,LOC:(27.3394703;-82.3993814)},
{TIME:1552587745,LOC:(27.3394704;-82.3993969)},
{TIME:1552587629,LOC:(27.3394761;-82.3994277)},
{TIME:1552587615,LOC:(27.3395374;-82.3994604)},
{TIME:1552587588,LOC:(27.3397512;-82.3994785)},
{TIME:1552587555,LOC:(27.3399026;-82.3995584)},
{TIME:1552587530,LOC:(27.3398017;-82.3995347)},
{TIME:1552587515,LOC:(27.3398048;-82.3995695)},
{TIME:1552587495,LOC:(27.3398397;-82.3995473)},
{TIME:1552587463,LOC:(27.3396333;-82.3996158)},
{TIME:1552587428,LOC:(27.3395254;-82.3993172)},
{TIME:1552587414,LOC:(27.3395147;-82.399302)},
{TIME:1552587394,LOC:(27.3394891;-82.3992614)},
{TIME:1552587374,LOC:(27.3394924;-82.3992933)},
{TIME:1552587334,LOC:(27.3395353;-82.3993397)},
{TIME:1552587294,LOC:(27.3399596;-82.3995241)},
{TIME:1552587206,LOC:(27.3405309;-82.3992864)},
{TIME:1552587188,LOC:(27.3404575;-82.3991964)},
{TIME:1552587178,LOC:(27.3404941;-82.3992118)},
{TIME:1552587098,LOC:(27.3404575;-82.3991964)},
{TIME:1552587092,LOC:(27.3342573;-82.4006072)},
{TIME:1552587073,LOC:(27.3404823;-82.399174)},
{TIME:1552587015,LOC:(27.3404575;-82.3991964)},
{TIME:1552586995,LOC:(27.3404893;-82.3992157)},
{TIME:1552586948,LOC:(27.3404575;-82.3991964)},
{TIME:1552586863,LOC:(27.3405309;-82.3992864)},
{TIME:1552586811,LOC:(27.3344428;-82.4007079)},
{TIME:1552586772,LOC:(27.340006;-82.3995987)},
{TIME:1552586746,LOC:(27.340115;-82.3994791)},
{TIME:1552586700,LOC:(27.3400026;-82.39935)},
{TIME:1552586685,LOC:(27.3400059;-82.3993269)},
{TIME:1552586653,LOC:(27.3399677;-82.3993035)},
{TIME:1552586645,LOC:(27.3399615;-82.3991862)},
{TIME:1552586625,LOC:(27.3402328;-82.3993436)},
{TIME:1552586585,LOC:(27.340221;-82.3991553)},
{TIME:1552586565,LOC:(27.3401594;-82.3991431)},
{TIME:1552586525,LOC:(27.3400261;-82.3994008)},
{TIME:1552586505,LOC:(27.3400143;-82.3995167)},
{TIME:1552586465,LOC:(27.3395082;-82.3996311)},
{TIME:1552586445,LOC:(27.3394175;-82.3995076)},
{TIME:1552586385,LOC:(27.3393362;-82.3995744)},
{TIME:1552586365,LOC:(27.3393442;-82.3996967)},
{TIME:1552586345,LOC:(27.3393856;-82.3995833)},
{TIME:1552586297,LOC:(27.3395553;-82.3995551)},
{TIME:1552586285,LOC:(27.3397171;-82.3995407)},
{TIME:1552586234,LOC:(27.3399592;-82.3995107)},
{TIME:1552586204,LOC:(27.3400289;-82.3995086)},
{TIME:1552586186,LOC:(27.3402553;-82.399307)},
{TIME:1552586184,LOC:(27.3403472;-82.3992485)},
{TIME:1552586164,LOC:(27.3402876;-82.3993234)},
{TIME:1552586109,LOC:(27.3402612;-82.3992881)},
{TIME:1552586083,LOC:(27.3405309;-82.3992864)},
{TIME:1552586063,LOC:(27.3405204;-82.3992881)},
{TIME:1552585979,LOC:(27.3405309;-82.3992864)},
{TIME:1552585961,LOC:(27.3344428;-82.4007079)},
{TIME:1552585922,LOC:(27.3405309;-82.3992864)},
{TIME:1552585873,LOC:(27.3404894;-82.399262)},
{TIME:1552585891,INF:PEER[94405d50-3b72-41a2-95c3-92669945dacc]},
{TIME:1552585857,LOC:(27.3404791;-82.3992629)},
{TIME:1552585817,LOC:(27.3404807;-82.3992755)},
{TIME:1552585767,LOC:(27.3404786;-82.3992618)},
{TIME:1552585718,LOC:(27.3404591;-82.399241)},
{TIME:1552585685,LOC:(27.3404696;-82.399255)},
{TIME:1552585652,LOC:(27.3404753;-82.3992437)},
{TIME:1552585639,LOC:(27.3404465;-82.3992256)},
{TIME:1552585597,LOC:(27.3404878;-82.3992621)},
{TIME:1552585537,LOC:(27.3404771;-82.3992514)},
{TIME:1552585478,LOC:(27.3404757;-82.3992619)},
{TIME:1552585465,LOC:(27.3404372;-82.3992333)},
{TIME:1552585435,LOC:(27.3404442;-82.3992267)},
{TIME:1552585416,LOC:(27.3404832;-82.3992518)},
{TIME:1552585363,LOC:(27.3404853;-82.3992622)},
{TIME:1552585337,LOC:(27.3404929;-82.3992782)},
{TIME:1552585297,LOC:(27.340478;-82.3992617)},
{TIME:1552585277,LOC:(27.3404277;-82.3992142)},
{TIME:1552585242,LOC:(27.3405133;-82.3992812)},
{TIME:1552585237,LOC:(27.3405309;-82.3992864)},
}
