{
{TIME:1552587394,OUT:DEAD},
{TIME:1552587350,LOC:(27.3398289;-82.3995183)},
{TIME:1552587308,LOC:(27.3398987;-82.3995662)},
{TIME:1552587283,LOC:(27.3398316;-82.3995222)},
{TIME:1552587241,LOC:(27.3395006;-82.3993077)},
{TIME:1552587199,LOC:(27.3394911;-82.3992921)},
{TIME:1552587156,LOC:(27.3394661;-82.3992942)},
{TIME:1552587114,LOC:(27.3395004;-82.399306)},
{TIME:1552587005,LOC:(27.3394662;-82.3992928)},
{TIME:1552586963,LOC:(27.3394752;-82.3993005)},
{TIME:1552586921,LOC:(27.3398143;-82.3995219)},
{TIME:1552586896,LOC:(27.3399927;-82.3995222)},
{TIME:1552586869,LOC:(27.3402093;-82.3993659)},
{TIME:1552586831,LOC:(27.3405309;-82.3992864)},
{TIME:1552586762,LOC:(27.3385124;-82.4050116)},
{TIME:1552586741,LOC:(27.3393126;-82.3995907)},
{TIME:1552586720,LOC:(27.3403042;-82.4111097)},
{TIME:1552586699,LOC:(27.3392609;-82.4053504)},
{TIME:1552586678,LOC:(27.3403042;-82.4111097)},
{TIME:1552586663,LOC:(27.3429424;-82.3973805)},
{TIME:1552586635,LOC:(27.3405921;-82.4029789)},
{TIME:1552586614,LOC:(27.3408349;-82.4141585)},
{TIME:1552586487,LOC:(27.3403042;-82.4111097)},
{TIME:1552586466,LOC:(27.3406324;-82.4104321)},
{TIME:1552586292,LOC:(27.3403042;-82.4111097)},
{TIME:1552586262,LOC:(27.3385315;-82.3969252)},
{TIME:1552586085,LOC:(27.3405309;-82.3992864)},
{TIME:1552586034,LOC:(27.3392609;-82.4053504)},
{TIME:1552585952,LOC:(27.3405309;-82.3992864)},
{TIME:1552585929,LOC:(27.3404427;-82.3993461)},
{TIME:1552585787,LOC:(27.3405309;-82.3992864)},
{TIME:1552585759,LOC:(27.3406324;-82.4104321)},
{TIME:1552585719,LOC:(27.3405309;-82.3992864)},
{TIME:1552585695,LOC:(27.3403042;-82.4111097)},
{TIME:1552585674,LOC:(27.3406324;-82.4104321)},
{TIME:1552585636,LOC:(27.3404018;-82.3992281)},
{TIME:1552585593,LOC:(27.3398985;-82.399278)},
{TIME:1552585581,INF:PEER[8d4d1089-00ca-46de-93a1-446a279d1b8f]},
{TIME:1552585551,LOC:(27.3399037;-82.3991771)},
{TIME:1552585509,LOC:(27.3400839;-82.3992055)},
{TIME:1552585467,LOC:(27.3399996;-82.3992096)},
{TIME:1552585445,LOC:(27.34001;-82.3993992)},
{TIME:1552585404,LOC:(27.3402454;-82.3993849)},
{TIME:1552585359,LOC:(27.3405309;-82.3992864)},
{TIME:1552585275,LOC:(27.3404575;-82.3991964)},
{TIME:1552585064,LOC:(27.3405309;-82.3992864)},
{TIME:1552585039,LOC:(27.3402879;-82.3993909)},
{TIME:1552585021,LOC:(27.340154;-82.3993547)},
{TIME:1552584995,LOC:(27.339995;-82.3995352)},
{TIME:1552584977,LOC:(27.3397689;-82.3994936)},
{TIME:1552584959,LOC:(27.3396612;-82.3994429)},
{TIME:1552584923,LOC:(27.3393391;-82.3995489)},
{TIME:1552584893,LOC:(27.3392411;-82.3995483)},
{TIME:1552584843,LOC:(27.3393885;-82.3996739)},
{TIME:1552584801,LOC:(27.339406;-82.3997444)},
{TIME:1552584757,LOC:(27.3393983;-82.3997369)},
}
