{
{TIME:1552587958,OUT:DEAD},
{TIME:1552587947,LOC:(27.3394964;-82.3994212)},
{TIME:1552587923,LOC:(27.3395594;-82.3994654)},
{TIME:1552587901,LOC:(27.3395295;-82.3994737)},
{TIME:1552587819,LOC:(27.3394746;-82.3992961)},
{TIME:1552587804,LOC:(27.3394631;-82.3993043)},
{TIME:1552587778,LOC:(27.3394797;-82.3993049)},
{TIME:1552587759,LOC:(27.3394881;-82.3994085)},
{TIME:1552587734,LOC:(27.3394743;-82.3994093)},
{TIME:1552587716,LOC:(27.3394664;-82.3993917)},
{TIME:1552587715,LOC:(27.3394728;-82.3994226)},
{TIME:1552587701,LOC:(27.3395567;-82.3994637)},
{TIME:1552587691,LOC:(27.3396982;-82.3994138)},
{TIME:1552587673,LOC:(27.3397775;-82.3994539)},
{TIME:1552587658,LOC:(27.3399814;-82.3994783)},
{TIME:1552587649,LOC:(27.3400336;-82.3994545)},
{TIME:1552587607,LOC:(27.3405309;-82.3992864)},
{TIME:1552587589,LOC:(27.3398286;-82.409077)},
{TIME:1552587568,LOC:(27.3367241;-82.4056892)},
{TIME:1552587547,LOC:(27.3398286;-82.409077)},
{TIME:1552587526,LOC:(27.3405309;-82.3992864)},
{TIME:1552587485,LOC:(27.3367241;-82.4056892)},
{TIME:1552587464,LOC:(27.3405309;-82.3992864)},
{TIME:1552587443,LOC:(27.3398286;-82.409077)},
{TIME:1552587422,LOC:(27.3367241;-82.4056892)},
{TIME:1552587401,LOC:(27.3398286;-82.409077)},
{TIME:1552587380,LOC:(27.3436696;-82.3974334)},
{TIME:1552587145,LOC:(27.3405309;-82.3992864)},
{TIME:1552587106,LOC:(27.3404914;-82.3992626)},
{TIME:1552587101,LOC:(27.3404735;-82.3992152)},
{TIME:1552587071,LOC:(27.3404615;-82.3992126)},
{TIME:1552587056,LOC:(27.340495;-82.3992512)},
{TIME:1552587043,LOC:(27.3405309;-82.3992864)},
{TIME:1552587015,LOC:(27.3405171;-82.3992894)},
{TIME:1552586994,LOC:(27.3404973;-82.3992658)},
{TIME:1552586979,LOC:(27.3405162;-82.3992433)},
{TIME:1552586974,LOC:(27.3405004;-82.3992726)},
{TIME:1552586969,LOC:(27.3405306;-82.3992739)},
{TIME:1552586916,LOC:(27.3405309;-82.3992864)},
{TIME:1552586895,LOC:(27.3405215;-82.3992852)},
{TIME:1552586832,LOC:(27.3404575;-82.3991964)},
{TIME:1552586811,LOC:(27.3405309;-82.3992864)},
{TIME:1552586790,LOC:(27.340518;-82.399278)},
{TIME:1552586760,LOC:(27.3405273;-82.3992858)},
{TIME:1552586726,LOC:(27.3404575;-82.3991964)},
{TIME:1552586715,LOC:(27.3404702;-82.3992597)},
{TIME:1552586656,LOC:(27.3404575;-82.3991964)},
{TIME:1552586643,LOC:(27.3405159;-82.3992778)},
{TIME:1552586631,LOC:(27.3404912;-82.3992394)},
{TIME:1552586628,LOC:(27.3405142;-82.3992828)},
{TIME:1552586621,LOC:(27.3405125;-82.3992595)},
{TIME:1552586614,LOC:(27.3405309;-82.3992864)},
{TIME:1552586607,LOC:(27.3404575;-82.3991964)},
{TIME:1552586604,LOC:(27.3405276;-82.3992738)},
{TIME:1552586597,LOC:(27.3405168;-82.3992512)},
{TIME:1552586594,LOC:(27.3405125;-82.3992615)},
{TIME:1552586584,LOC:(27.3405254;-82.3992747)},
{TIME:1552586571,LOC:(27.3405153;-82.3992818)},
{TIME:1552586546,LOC:(27.3405309;-82.3992864)},
{TIME:1552586540,LOC:(27.3405311;-82.3992748)},
{TIME:1552586535,LOC:(27.3405191;-82.3992903)},
{TIME:1552586530,LOC:(27.3405309;-82.3992864)},
{TIME:1552586525,LOC:(27.3405091;-82.3992785)},
{TIME:1552586513,LOC:(27.3405326;-82.3992882)},
{TIME:1552586471,LOC:(27.340511;-82.3992821)},
{TIME:1552586463,LOC:(27.340531;-82.3992745)},
{TIME:1552586453,LOC:(27.3404752;-82.399244)},
{TIME:1552586451,LOC:(27.3404975;-82.3992791)},
{TIME:1552586449,LOC:(27.3405309;-82.3992864)},
{TIME:1552586424,LOC:(27.3405271;-82.3992733)},
{TIME:1552586406,LOC:(27.3405031;-82.3992794)},
{TIME:1552586402,LOC:(27.3404061;-82.3992407)},
{TIME:1552586374,LOC:(27.3405316;-82.3992754)},
{TIME:1552586364,LOC:(27.3404786;-82.3991849)},
{TIME:1552586322,LOC:(27.3405089;-82.3992739)},
{TIME:1552586301,LOC:(27.3405142;-82.3992886)},
{TIME:1552586280,LOC:(27.3405297;-82.3992743)},
{TIME:1552586244,LOC:(27.3404862;-82.3992252)},
{TIME:1552586232,LOC:(27.3405309;-82.3992864)},
}
