{
{TIME:1552587962,OUT:DEAD},
{TIME:1552587923,LOC:(27.3395075;-82.399411)},
{TIME:1552587882,LOC:(27.3394903;-82.3993834)},
{TIME:1552587841,LOC:(27.3394973;-82.3994143)},
{TIME:1552587814,LOC:(27.33949;-82.399396)},
{TIME:1552587772,LOC:(27.3394996;-82.3994131)},
{TIME:1552587731,LOC:(27.339483;-82.3993889)},
{TIME:1552587689,LOC:(27.3394787;-82.3994133)},
{TIME:1552587650,LOC:(27.3394921;-82.3994289)},
{TIME:1552587609,LOC:(27.3394978;-82.3993966)},
{TIME:1552587560,LOC:(27.3395003;-82.399305)},
{TIME:1552587519,LOC:(27.3394912;-82.399293)},
{TIME:1552587492,LOC:(27.3394662;-82.3992922)},
{TIME:1552587458,LOC:(27.3394912;-82.3992924)},
{TIME:1552587416,LOC:(27.3398202;-82.3995074)},
{TIME:1552587373,LOC:(27.3381105;-82.4043341)},
{TIME:1552587291,LOC:(27.3405309;-82.3992864)},
{TIME:1552587157,LOC:(27.3381105;-82.4043341)},
{TIME:1552587073,LOC:(27.3404575;-82.3991964)},
{TIME:1552587028,LOC:(27.3405309;-82.3992864)},
{TIME:1552586984,LOC:(27.3381105;-82.4043341)},
{TIME:1552586947,LOC:(27.3405309;-82.3992864)},
{TIME:1552586925,LOC:(27.3429424;-82.3973805)},
{TIME:1552586823,LOC:(27.3405309;-82.3992864)},
{TIME:1552586781,LOC:(27.3404469;-82.3992028)},
{TIME:1552586749,LOC:(27.3404504;-82.3992215)},
{TIME:1552586713,LOC:(27.3404804;-82.3992618)},
{TIME:1552586682,LOC:(27.3404633;-82.3992552)},
{TIME:1552586658,LOC:(27.3404094;-82.3992518)},
{TIME:1552586638,LOC:(27.3403872;-82.3992318)},
{TIME:1552586624,LOC:(27.3404045;-82.3992361)},
{TIME:1552586602,LOC:(27.3403944;-82.3992121)},
{TIME:1552586574,LOC:(27.3404967;-82.3992777)},
{TIME:1552586336,LOC:(27.3405309;-82.3992864)},
{TIME:1552586306,LOC:(27.3405108;-82.399142)},
{TIME:1552586266,LOC:(27.3401651;-82.3992121)},
{TIME:1552586226,LOC:(27.3401019;-82.3991651)},
{TIME:1552586199,LOC:(27.3398048;-82.3993655)},
{TIME:1552586173,LOC:(27.3398954;-82.3991671)},
{TIME:1552586163,LOC:(27.3399959;-82.3992247)},
{TIME:1552586153,INF:PEER[ef5ebdb6-eff3-49f5-a30b-3490e399af1b]},
{TIME:1552586129,LOC:(27.3400142;-82.3991962)},
{TIME:1552586112,LOC:(27.3400179;-82.3992182)},
{TIME:1552586086,LOC:(27.3399843;-82.3991768)},
{TIME:1552586065,LOC:(27.3399632;-82.3991886)},
{TIME:1552586046,LOC:(27.3400694;-82.3992554)},
{TIME:1552586023,LOC:(27.3401037;-82.3992111)},
{TIME:1552585995,LOC:(27.3403837;-82.3992134)},
{TIME:1552585973,LOC:(27.3405107;-82.3992041)},
{TIME:1552585910,LOC:(27.3404575;-82.3991964)},
{TIME:1552585876,LOC:(27.3405309;-82.3992864)},
{TIME:1552585755,LOC:(27.3381105;-82.4043341)},
{TIME:1552585593,LOC:(27.3405309;-82.3992864)},
{TIME:1552585260,LOC:(27.3381105;-82.4043341)},
{TIME:1552585139,LOC:(27.3405309;-82.3992864)},
{TIME:1552585101,LOC:(27.3381105;-82.4043341)},
{TIME:1552585059,LOC:(27.3405309;-82.3992864)},
{TIME:1552585019,LOC:(27.340523;-82.3992914)},
{TIME:1552584978,LOC:(27.3405309;-82.3992864)},
{TIME:1552584953,LOC:(27.340152;-82.3992992)},
{TIME:1552584924,LOC:(27.3400377;-82.399433)},
{TIME:1552584898,LOC:(27.3400501;-82.3994655)},
{TIME:1552584856,LOC:(27.3396901;-82.3994759)},
{TIME:1552584831,LOC:(27.3395902;-82.3995735)},
}
