{
{TIME:1552587395,OUT:DEAD},
{TIME:1552587378,LOC:(27.3397877;-82.3995136)},
{TIME:1552587360,LOC:(27.339821;-82.3995104)},
{TIME:1552587339,LOC:(27.3398233;-82.3995498)},
{TIME:1552587328,LOC:(27.339829;-82.3995232)},
{TIME:1552587307,LOC:(27.3398162;-82.3995377)},
{TIME:1552587287,LOC:(27.3397411;-82.399517)},
{TIME:1552587270,LOC:(27.3395657;-82.3993724)},
{TIME:1552587248,LOC:(27.3394786;-82.3993072)},
{TIME:1552587213,LOC:(27.3394887;-82.3993029)},
{TIME:1552587200,LOC:(27.3395009;-82.3993062)},
{TIME:1552587180,LOC:(27.3394882;-82.3993029)},
{TIME:1552587136,LOC:(27.3395007;-82.3993068)},
{TIME:1552587115,LOC:(27.3394758;-82.3993026)},
{TIME:1552587094,LOC:(27.3342573;-82.4006072)},
{TIME:1552587039,LOC:(27.3394884;-82.3993026)},
{TIME:1552586998,LOC:(27.339467;-82.399293)},
{TIME:1552586950,LOC:(27.3394881;-82.3993012)},
{TIME:1552586929,LOC:(27.3394752;-82.3993013)},
{TIME:1552586889,LOC:(27.3394662;-82.3992934)},
{TIME:1552586870,LOC:(27.3394749;-82.3992975)},
{TIME:1552586848,LOC:(27.3395281;-82.3993149)},
{TIME:1552586829,LOC:(27.3396253;-82.3993276)},
{TIME:1552586803,LOC:(27.3397148;-82.3993468)},
{TIME:1552586760,LOC:(27.3397291;-82.3993219)},
{TIME:1552586720,LOC:(27.3396482;-82.3995745)},
{TIME:1552586713,LOC:(27.3396525;-82.3995597)},
{TIME:1552586700,LOC:(27.3394829;-82.3995654)},
{TIME:1552586679,LOC:(27.3398065;-82.3995857)},
{TIME:1552586639,LOC:(27.3397282;-82.3993212)},
{TIME:1552586620,LOC:(27.3398763;-82.3994431)},
{TIME:1552586600,LOC:(27.3399383;-82.3995113)},
{TIME:1552586578,LOC:(27.3401157;-82.3995087)},
{TIME:1552586558,LOC:(27.339844;-82.3994999)},
{TIME:1552586538,LOC:(27.3401043;-82.3992937)},
{TIME:1552586517,LOC:(27.3400415;-82.399215)},
{TIME:1552586497,LOC:(27.3401018;-82.3993535)},
{TIME:1552586477,LOC:(27.3400155;-82.3995287)},
{TIME:1552586457,LOC:(27.3399694;-82.3996894)},
{TIME:1552586436,LOC:(27.3399009;-82.3998064)},
{TIME:1552586418,LOC:(27.3398294;-82.3995272)},
{TIME:1552586397,LOC:(27.3395794;-82.3995422)},
{TIME:1552586377,LOC:(27.339657;-82.3994404)},
{TIME:1552586359,LOC:(27.339688;-82.3994412)},
{TIME:1552586337,LOC:(27.339776;-82.3995072)},
{TIME:1552586317,LOC:(27.3396947;-82.3995575)},
{TIME:1552586297,LOC:(27.3396556;-82.3996658)},
{TIME:1552586277,LOC:(27.3396771;-82.3996733)},
{TIME:1552586257,LOC:(27.3396212;-82.399716)},
{TIME:1552586236,LOC:(27.3396559;-82.3996157)},
{TIME:1552586216,LOC:(27.3396614;-82.3996332)},
{TIME:1552586195,LOC:(27.3396502;-82.3996233)},
{TIME:1552586170,LOC:(27.3397091;-82.3995269)},
{TIME:1552586068,LOC:(27.3397187;-82.3993334)},
{TIME:1552586048,LOC:(27.3342573;-82.4006072)},
{TIME:1552585946,LOC:(27.3397271;-82.3993211)},
{TIME:1552585926,LOC:(27.3397203;-82.3993331)},
{TIME:1552585844,LOC:(27.3397266;-82.3993203)},
{TIME:1552585886,LOC:(27.3397184;-82.3993132)},
{TIME:1552585864,LOC:(27.3397262;-82.3993052)},
{TIME:1552585804,LOC:(27.3397236;-82.3993198)},
{TIME:1552585783,LOC:(27.3397236;-82.3993055)},
{TIME:1552585762,LOC:(27.3397263;-82.3993207)},
{TIME:1552585702,LOC:(27.3397229;-82.3993067)},
{TIME:1552585662,LOC:(27.3397266;-82.3993211)},
{TIME:1552585517,LOC:(27.3397254;-82.3993057)},
{TIME:1552585590,INF:PEER[8d4d1089-00ca-46de-93a1-446a279d1b8f]},
{TIME:1552585549,LOC:(27.339725;-82.3993202)},
{TIME:1552585517,LOC:(27.3397404;-82.3994071)},
{TIME:1552585486,LOC:(27.3398209;-82.3994475)},
{TIME:1552585486,LOC:(27.339823;-82.3995061)},
{TIME:1552585445,LOC:(27.3402035;-82.3993685)},
{TIME:1552585425,LOC:(27.3404861;-82.3992945)},
{TIME:1552585365,LOC:(27.3405309;-82.3992864)},
{TIME:1552585347,LOC:(27.3401403;-82.3993701)},
{TIME:1552585327,LOC:(27.3403919;-82.3994049)},
{TIME:1552585243,LOC:(27.3405309;-82.3992864)},
{TIME:1552585200,LOC:(27.3349096;-82.3924752)},
}
