{
{TIME:1552587226,OUT:RECOVERED},
{TIME:1552587192,LOC:(27.3394877;-82.3993007)},
{TIME:1552587166,LOC:(27.3395007;-82.3993075)},
{TIME:1552587161,LOC:(27.3394877;-82.3993037)},
{TIME:1552587140,LOC:(27.3394933;-82.3993175)},
{TIME:1552587100,LOC:(27.3394875;-82.3993014)},
{TIME:1552587060,LOC:(27.3395007;-82.3993048)},
{TIME:1552586961,LOC:(27.3394884;-82.3993029)},
{TIME:1552586867,LOC:(27.3394746;-82.3992961)},
{TIME:1552586855,LOC:(27.3394875;-82.3993001)},
{TIME:1552586795,LOC:(27.3394663;-82.3992931)},
{TIME:1552586775,LOC:(27.3394876;-82.3993002)},
{TIME:1552586755,LOC:(27.3394657;-82.3992933)},
{TIME:1552586735,LOC:(27.3394747;-82.3993011)},
{TIME:1552586706,LOC:(27.3394663;-82.3992925)},
{TIME:1552586686,LOC:(27.3394933;-82.3992982)},
{TIME:1552586665,LOC:(27.3397027;-82.3994546)},
{TIME:1552586645,LOC:(27.339739;-82.3997685)},
{TIME:1552586625,LOC:(27.3397189;-82.3998002)},
{TIME:1552586605,LOC:(27.3397189;-82.3997619)},
{TIME:1552586565,LOC:(27.339741;-82.3997613)},
{TIME:1552586546,LOC:(27.3397292;-82.399765)},
{TIME:1552586506,LOC:(27.3397436;-82.3997574)},
{TIME:1552586486,LOC:(27.3397285;-82.3997528)},
{TIME:1552586446,LOC:(27.3397415;-82.3997607)},
{TIME:1552586426,LOC:(27.3397177;-82.3997568)},
{TIME:1552586385,LOC:(27.3397377;-82.3997712)},
{TIME:1552586365,LOC:(27.3397252;-82.3997767)},
{TIME:1552586346,LOC:(27.3397171;-82.3997617)},
{TIME:1552586326,LOC:(27.3397418;-82.3997611)},
{TIME:1552586306,LOC:(27.3397287;-82.3997647)},
{TIME:1552586286,LOC:(27.3397393;-82.3997557)},
{TIME:1552586266,LOC:(27.3397287;-82.3997651)},
{TIME:1552586255,LOC:(27.3397259;-82.3997771)},
{TIME:1552586237,LOC:(27.3397174;-82.3997608)},
{TIME:1552586217,LOC:(27.3397429;-82.3997601)},
{TIME:1552586197,LOC:(27.3397266;-82.3997787)},
{TIME:1552586177,LOC:(27.3397656;-82.3997612)},
{TIME:1552586137,LOC:(27.3397408;-82.3997629)},
{TIME:1552586097,LOC:(27.3397296;-82.3997648)},
{TIME:1552586077,LOC:(27.3397091;-82.3997721)},
{TIME:1552586057,LOC:(27.3397298;-82.3997612)},
{TIME:1552586017,LOC:(27.3397407;-82.3997607)},
{TIME:1552585977,LOC:(27.3397265;-82.3997741)},
{TIME:1552585957,LOC:(27.3397376;-82.399768)},
{TIME:1552585937,LOC:(27.3397105;-82.3997964)},
{TIME:1552585897,LOC:(27.3397374;-82.3997679)},
{TIME:1552585876,LOC:(27.3397435;-82.3997541)},
{TIME:1552585853,LOC:(27.3397315;-82.3997625)},
{TIME:1552585833,LOC:(27.3397457;-82.3997586)},
{TIME:1552585823,LOC:(27.3397178;-82.3997531)},
{TIME:1552585807,LOC:(27.3397411;-82.3997527)},
{TIME:1552585787,LOC:(27.3397154;-82.3998117)},
{TIME:1552585767,LOC:(27.339744;-82.3997612)},
{TIME:1552585747,LOC:(27.3397531;-82.3997382)},
{TIME:1552585727,LOC:(27.3398488;-82.399619)},
{TIME:1552585707,LOC:(27.34016;-82.3994046)},
{TIME:1552585687,LOC:(27.3405309;-82.3992864)},
{TIME:1552585667,LOC:(27.3404403;-82.3992986)},
{TIME:1552585647,LOC:(27.3400616;-82.3996409)},
{TIME:1552585627,LOC:(27.3399034;-82.3996496)},
{TIME:1552585585,LOC:(27.3397417;-82.3997582)},
{TIME:1552585555,LOC:(27.3397167;-82.3997584)},
{TIME:1552585550,LOC:(27.3397131;-82.3997703)},
{TIME:1552585530,LOC:(27.3397303;-82.3997627)},
{TIME:1552585510,LOC:(27.3397096;-82.3997709)},
{TIME:1552585490,LOC:(27.3397268;-82.3997773)},
{TIME:1552585470,LOC:(27.3397405;-82.3997598)},
{TIME:1552585450,LOC:(27.3397483;-82.3997399)},
{TIME:1552585430,LOC:(27.3397153;-82.3996781)},
{TIME:1552585410,LOC:(27.3397167;-82.3996481)},
{TIME:1552585411,INF:PEER[8d4d1089-00ca-46de-93a1-446a279d1b8f]},
{TIME:1552585390,LOC:(27.3397025;-82.3996517)},
{TIME:1552585368,LOC:(27.3398354;-82.3995184)},
{TIME:1552585359,LOC:(27.3400452;-82.3994635)},
{TIME:1552585338,LOC:(27.3401898;-82.399382)},
{TIME:1552585278,LOC:(27.3405309;-82.3992864)},
{TIME:1552585215,LOC:(27.3403042;-82.4111097)},
}
