{
{TIME:1552588209,OUT:DEAD},
{TIME:1552588204,LOC:(27.3395743;-82.3995212)},
{TIME:1552588176,LOC:(27.3394765;-82.3994784)},
{TIME:1552588143,LOC:(27.3396758;-82.3994937)},
{TIME:1552588123,LOC:(27.3396948;-82.3994963)},
{TIME:1552588098,LOC:(27.3396439;-82.3994572)},
{TIME:1552588082,LOC:(27.3396965;-82.3994629)},
{TIME:1552588056,LOC:(27.3397509;-82.3994924)},
{TIME:1552588028,LOC:(27.3400339;-82.3995155)},
{TIME:1552588010,LOC:(27.3400623;-82.3994773)},
{TIME:1552587992,LOC:(27.3401752;-82.3994681)},
{TIME:1552587951,LOC:(27.3405309;-82.3992864)},
{TIME:1552587914,LOC:(27.3402538;-82.3993853)},
{TIME:1552587901,LOC:(27.3402199;-82.399359)},
{TIME:1552587857,LOC:(27.3400669;-82.3991456)},
{TIME:1552587824,LOC:(27.3399374;-82.3991831)},
{TIME:1552587791,LOC:(27.3398104;-82.3995048)},
{TIME:1552587753,LOC:(27.3402856;-82.3993355)},
{TIME:1552587739,LOC:(27.340006;-82.3995987)},
{TIME:1552587663,LOC:(27.3405309;-82.3992864)},
{TIME:1552587637,LOC:(27.340417;-82.3992948)},
{TIME:1552587603,LOC:(27.340006;-82.3995987)},
{TIME:1552587536,LOC:(27.3377808;-82.4723988)},
{TIME:1552587516,LOC:(27.34262;-82.4067056)},
{TIME:1552587480,LOC:(27.340006;-82.3995987)},
{TIME:1552587439,LOC:(27.3402876;-82.3993234)},
{TIME:1552587399,LOC:(27.3405309;-82.3992864)},
{TIME:1552587074,LOC:(27.3381105;-82.4043341)},
{TIME:1552587048,LOC:(27.3404347;-82.3992399)},
{TIME:1552587029,LOC:(27.3404342;-82.3992748)},
{TIME:1552587013,LOC:(27.3404361;-82.3992247)},
{TIME:1552586974,LOC:(27.3404041;-82.3992549)},
{TIME:1552586932,LOC:(27.340548;-82.3992562)},
{TIME:1552586892,LOC:(27.3405123;-82.399251)},
{TIME:1552586852,LOC:(27.3404839;-82.3992589)},
{TIME:1552586799,LOC:(27.3404575;-82.3991964)},
{TIME:1552586759,LOC:(27.3405309;-82.3992864)},
{TIME:1552586716,LOC:(27.3381105;-82.4043341)},
{TIME:1552586679,LOC:(27.3405309;-82.3992864)},
{TIME:1552586431,LOC:(27.3381105;-82.4043341)},
{TIME:1552586399,INF:PEER[ef5ebdb6-eff3-49f5-a30b-3490e399af1b]},
{TIME:1552586393,LOC:(27.3404575;-82.3991964)},
{TIME:1552586243,LOC:(27.3381105;-82.4043341)},
{TIME:1552586196,LOC:(27.3405309;-82.3992864)},
{TIME:1552586171,LOC:(27.3405152;-82.3992822)},
{TIME:1552586151,LOC:(27.3405227;-82.3992734)},
{TIME:1552586132,LOC:(27.3405326;-82.3992894)},
{TIME:1552586122,LOC:(27.340516;-82.3992826)},
{TIME:1552586118,LOC:(27.3405309;-82.3992864)},
{TIME:1552586108,LOC:(27.3405167;-82.3992788)},
{TIME:1552586096,LOC:(27.3405295;-82.3992747)},
{TIME:1552586086,LOC:(27.3405146;-82.3992895)},
{TIME:1552586040,LOC:(27.340518;-82.3992433)},
{TIME:1552585960,LOC:(27.3405309;-82.3992864)},
{TIME:1552585925,LOC:(27.3402876;-82.3993234)},
{TIME:1552585919,LOC:(27.3404004;-82.3993551)},
{TIME:1552585886,LOC:(27.3401648;-82.3994391)},
{TIME:1552585873,LOC:(27.3400831;-82.3995039)},
{TIME:1552585832,LOC:(27.3399711;-82.3994466)},
{TIME:1552585788,LOC:(27.3397855;-82.3994868)},
{TIME:1552585762,LOC:(27.3397029;-82.3995354)},
{TIME:1552585752,LOC:(27.3395778;-82.3995707)},
{TIME:1552585742,LOC:(27.3395456;-82.3996073)},
{TIME:1552585733,LOC:(27.339394;-82.399543)},
{TIME:1552585703,LOC:(27.3392068;-82.3994792)},
{TIME:1552585661,LOC:(27.3392661;-82.399474)},
{TIME:1552585620,LOC:(27.3392271;-82.3995431)},
{TIME:1552585579,LOC:(27.3392169;-82.3995102)},
{TIME:1552585537,LOC:(27.3394539;-82.3996732)},
{TIME:1552585497,LOC:(27.3399724;-82.3995696)},
{TIME:1552585468,LOC:(27.3402079;-82.3993915)},
{TIME:1552585458,LOC:(27.3401602;-82.3993168)},
{TIME:1552585441,LOC:(27.340324;-82.3992677)},
{TIME:1552585437,LOC:(27.3404053;-82.3992754)},
{TIME:1552585393,LOC:(27.3404294;-82.3992211)},
{TIME:1552585350,LOC:(27.3405025;-82.3992624)},
{TIME:1552585307,LOC:(27.3381105;-82.4043341)},
{TIME:1552585270,LOC:(27.3405309;-82.3992864)},
{TIME:1552585220,LOC:(27.3381105;-82.4043341)},
}
