{
{TIME:1552587181,OUT:DEAD},
{TIME:1552587142,LOC:(27.3394661;-82.3992914)},
{TIME:1552587118,LOC:(27.3394792;-82.3992887)},
{TIME:1552587103,LOC:(27.339467;-82.3992924)},
{TIME:1552586983,LOC:(27.3394923;-82.3992923)},
{TIME:1552586945,LOC:(27.3394672;-82.3992928)},
{TIME:1552586922,LOC:(27.3394923;-82.3992929)},
{TIME:1552586882,LOC:(27.3394798;-82.399294)},
{TIME:1552586859,LOC:(27.3395147;-82.3993017)},
{TIME:1552586779,LOC:(27.3394674;-82.3992924)},
{TIME:1552586739,LOC:(27.3395098;-82.3992985)},
{TIME:1552586622,LOC:(27.3397639;-82.4089685)},
{TIME:1552586601,LOC:(27.3405309;-82.3992864)},
{TIME:1552586574,LOC:(27.3397639;-82.4089685)},
{TIME:1552586474,LOC:(27.3405309;-82.3992864)},
{TIME:1552586454,LOC:(27.3397639;-82.4089685)},
{TIME:1552586043,LOC:(27.3405309;-82.3992864)},
{TIME:1552585997,LOC:(27.3397639;-82.4089685)},
{TIME:1552585903,LOC:(27.3405309;-82.3992864)},
{TIME:1552585762,LOC:(27.3398286;-82.409077)},
{TIME:1552585715,LOC:(27.340006;-82.3995987)},
{TIME:1552585629,LOC:(27.3398286;-82.409077)},
{TIME:1552585589,LOC:(27.3404575;-82.3991964)},
{TIME:1552585543,LOC:(27.3398286;-82.409077)},
{TIME:1552585475,LOC:(27.3405309;-82.3992864)},
{TIME:1552585408,LOC:(27.3398286;-82.409077)},
{TIME:1552585386,LOC:(27.3404108;-82.399319)},
{TIME:1552585372,INF:PEER[a5b8c493-b683-4a7d-8262-f6a61fe5eb72]},
{TIME:1552585360,LOC:(27.3398286;-82.409077)},
{TIME:1552585341,LOC:(27.3404575;-82.3991964)},
{TIME:1552585280,LOC:(27.3398286;-82.409077)},
{TIME:1552585240,LOC:(27.3405309;-82.3992864)},
{TIME:1552585130,LOC:(27.3398286;-82.409077)},
{TIME:1552585091,LOC:(27.3405309;-82.3992864)},
{TIME:1552585051,LOC:(27.3400012;-82.3995892)},
{TIME:1552585011,LOC:(27.339687;-82.3994343)},
{TIME:1552584971,LOC:(27.3398176;-82.3995387)},
{TIME:1552584948,LOC:(27.3397764;-82.3994405)},
{TIME:1552584898,LOC:(27.3396106;-82.3994868)},
{TIME:1552584878,LOC:(27.339605;-82.3994398)},
{TIME:1552584843,LOC:(27.3399479;-82.3995024)},
{TIME:1552584823,LOC:(27.3400059;-82.3996803)},
{TIME:1552584797,LOC:(27.3400369;-82.3993805)},
{TIME:1552584757,LOC:(27.3399812;-82.399587)},
{TIME:1552584737,LOC:(27.3399905;-82.3996055)},
{TIME:1552584617,LOC:(27.3400019;-82.3995979)},
{TIME:1552584596,LOC:(27.3399826;-82.3995899)},
{TIME:1552584569,LOC:(27.339994;-82.3995927)},
{TIME:1552584549,LOC:(27.3399817;-82.3995897)},
{TIME:1552584469,LOC:(27.340002;-82.3995981)},
{TIME:1552584427,LOC:(27.3400064;-82.3995883)},
{TIME:1552584407,LOC:(27.3400021;-82.3995976)},
{TIME:1552584387,LOC:(27.3399935;-82.399592)},
{TIME:1552584367,LOC:(27.340002;-82.3995971)},
{TIME:1552584347,LOC:(27.3400031;-82.3995853)},
{TIME:1552584324,LOC:(27.3399911;-82.3996053)},
{TIME:1552584222,LOC:(27.3400057;-82.3995887)},
{TIME:1552584182,LOC:(27.339981;-82.3995885)},
{TIME:1552584162,LOC:(27.3399935;-82.3995899)},
{TIME:1552584122,LOC:(27.340005;-82.3995882)},
{TIME:1552584101,LOC:(27.3399934;-82.3995854)},
{TIME:1552584082,LOC:(27.3400017;-82.3995976)},
{TIME:1552584062,LOC:(27.3399816;-82.3995883)},
{TIME:1552584037,LOC:(27.3399719;-82.3995745)},
{TIME:1552584017,LOC:(27.3399941;-82.3995933)},
{TIME:1552583997,LOC:(27.3400051;-82.3995869)},
{TIME:1552583977,LOC:(27.3399937;-82.3995881)},
{TIME:1552583957,LOC:(27.3399815;-82.3995898)},
{TIME:1552583937,LOC:(27.3400061;-82.3995873)},
{TIME:1552583917,LOC:(27.3399815;-82.3995879)},
{TIME:1552583897,LOC:(27.3399825;-82.3996088)},
{TIME:1552583871,LOC:(27.3400069;-82.3995895)},
{TIME:1552583831,LOC:(27.3399812;-82.3995862)},
{TIME:1552583748,LOC:(27.3400068;-82.3995893)},
{TIME:1552583687,LOC:(27.3399943;-82.3995944)},
{TIME:1552583608,LOC:(27.3400066;-82.3995906)},
{TIME:1552583588,LOC:(27.3399864;-82.3995894)},
{TIME:1552583568,LOC:(27.340007;-82.3995888)},
{TIME:1552583548,LOC:(27.339995;-82.3995895)},
{TIME:1552583488,LOC:(27.3400077;-82.3995902)},
{TIME:1552583447,LOC:(27.3399955;-82.3995887)},
{TIME:1552583427,LOC:(27.3399865;-82.3995816)},
{TIME:1552583407,LOC:(27.3400072;-82.3995905)},
{TIME:1552583387,LOC:(27.3400013;-82.3995331)},
{TIME:1552583347,LOC:(27.3400073;-82.3995892)},
{TIME:1552583327,LOC:(27.339983;-82.3995897)},
{TIME:1552583122,LOC:(27.3400062;-82.3995875)},
{TIME:1552583082,LOC:(27.3399944;-82.3995907)},
{TIME:1552583022,LOC:(27.3400072;-82.3995894)},
{TIME:1552583002,LOC:(27.3399951;-82.3995907)},
{TIME:1552582982,LOC:(27.3400029;-82.3995819)},
{TIME:1552582959,LOC:(27.339995;-82.39959)},
{TIME:1552582838,LOC:(27.3400073;-82.3995882)},
{TIME:1552582798,LOC:(27.3399863;-82.3995774)},
{TIME:1552582778,LOC:(27.3399891;-82.3995454)},
{TIME:1552582758,LOC:(27.3399949;-82.3995891)},
{TIME:1552582738,LOC:(27.3399975;-82.3995531)},
{TIME:1552582718,LOC:(27.3399994;-82.3995888)},
{TIME:1552582669,LOC:(27.3400074;-82.3995806)},
{TIME:1552582649,LOC:(27.3400343;-82.3995468)},
{TIME:1552582629,LOC:(27.3400118;-82.3995744)},
{TIME:1552582589,LOC:(27.34002;-82.3995899)},
{TIME:1552582549,LOC:(27.339995;-82.3995911)},
{TIME:1552582529,LOC:(27.3400087;-82.3995912)},
{TIME:1552582508,LOC:(27.3400164;-82.3995853)},
{TIME:1552582488,LOC:(27.3400168;-82.3995973)},
{TIME:1552582468,LOC:(27.3400144;-82.3995642)},
{TIME:1552582447,LOC:(27.3400143;-82.3995498)},
{TIME:1552582428,LOC:(27.340034;-82.3995471)},
{TIME:1552582408,LOC:(27.3400324;-82.3995939)},
{TIME:1552582347,LOC:(27.3400232;-82.3995831)},
{TIME:1552582326,LOC:(27.3400058;-82.3995497)},
{TIME:1552582306,LOC:(27.3399976;-82.3995644)},
{TIME:1552582286,LOC:(27.3400244;-82.3995827)},
{TIME:1552582266,LOC:(27.3400084;-82.39959)},
{TIME:1552582246,LOC:(27.3400056;-82.3995503)},
{TIME:1552582096,LOC:(27.3400069;-82.3995897)},
{TIME:1552582071,LOC:(27.339975;-82.3996458)},
{TIME:1552582042,LOC:(27.3399123;-82.3996528)},
{TIME:1552582022,LOC:(27.3399324;-82.3996459)},
