{
{TIME:1552587931,OUT:DEAD},
{TIME:1552587906,LOC:(27.3395029;-82.3994265)},
{TIME:1552587822,LOC:(27.3394889;-82.3994322)},
{TIME:1552587677,LOC:(27.3394717;-82.3994245)},
{TIME:1552587636,LOC:(27.3394767;-82.3994106)},
{TIME:1552587596,LOC:(27.3395027;-82.3993227)},
{TIME:1552587556,LOC:(27.3394922;-82.3992933)},
{TIME:1552587476,LOC:(27.3394662;-82.3992933)},
{TIME:1552587436,LOC:(27.3394759;-82.3993008)},
{TIME:1552587396,LOC:(27.3394915;-82.3993049)},
{TIME:1552587355,LOC:(27.3395231;-82.3993714)},
{TIME:1552587313,LOC:(27.3278372;-82.4100934)},
{TIME:1552587209,LOC:(27.3405309;-82.3992864)},
{TIME:1552587169,LOC:(27.3405491;-82.3991396)},
{TIME:1552587087,LOC:(27.3404575;-82.3991964)},
{TIME:1552587061,LOC:(27.3397918;-82.4083995)},
{TIME:1552586981,LOC:(27.3278372;-82.4100934)},
{TIME:1552586859,LOC:(27.3405309;-82.3992864)},
{TIME:1552586817,LOC:(27.3278372;-82.4100934)},
{TIME:1552586778,LOC:(27.3385315;-82.3969252)},
{TIME:1552586732,LOC:(27.3404575;-82.3991964)},
{TIME:1552586611,LOC:(27.3405309;-82.3992864)},
{TIME:1552586568,LOC:(27.3278372;-82.4100934)},
}
