{
{TIME:1552587703,OUT:DEAD},
{TIME:1552587679,LOC:(27.3395197;-82.3994254)},
{TIME:1552587639,LOC:(27.3395133;-82.3994124)},
{TIME:1552587620,LOC:(27.3395236;-82.3994121)},
{TIME:1552587580,LOC:(27.3395186;-82.3993735)},
{TIME:1552587540,LOC:(27.339497;-82.3993443)},
{TIME:1552587480,LOC:(27.3394927;-82.3992973)},
{TIME:1552587460,LOC:(27.3394672;-82.399296)},
{TIME:1552587420,LOC:(27.339471;-82.3992859)},
{TIME:1552587300,LOC:(27.3394911;-82.3992936)},
{TIME:1552587280,LOC:(27.3394784;-82.3992896)},
{TIME:1552587260,LOC:(27.3394911;-82.3992937)},
{TIME:1552587240,LOC:(27.3394873;-82.3993036)},
{TIME:1552587220,LOC:(27.3395275;-82.3993114)},
{TIME:1552587200,LOC:(27.3396074;-82.3993355)},
{TIME:1552587180,LOC:(27.3396273;-82.3993393)},
{TIME:1552587160,LOC:(27.3398605;-82.3994294)},
{TIME:1552587140,LOC:(27.3400403;-82.39943)},
{TIME:1552587120,LOC:(27.3404457;-82.3992146)},
{TIME:1552587100,LOC:(27.3404745;-82.3992519)},
{TIME:1552587080,LOC:(27.3404417;-82.3992266)},
{TIME:1552587060,LOC:(27.3403974;-82.3992212)},
{TIME:1552587040,LOC:(27.3404134;-82.3992329)},
{TIME:1552587003,LOC:(27.340387;-82.39924)},
{TIME:1552586960,LOC:(27.3404192;-82.3992404)},
{TIME:1552586940,LOC:(27.3404273;-82.3992519)},
{TIME:1552586900,LOC:(27.3404431;-82.3992265)},
{TIME:1552586880,LOC:(27.3404699;-82.3992444)},
{TIME:1552586860,LOC:(27.3404816;-82.3992519)},
{TIME:1552586840,LOC:(27.3404556;-82.3992236)},
{TIME:1552586379,LOC:(27.3405309;-82.3992864)},
{TIME:1552586350,LOC:(27.3406658;-82.4043341)},
{TIME:1552586299,LOC:(27.3405084;-82.3992512)},
{TIME:1552586279,LOC:(27.3405072;-82.3992317)},
{TIME:1552586259,LOC:(27.3404575;-82.3991964)},
{TIME:1552586199,LOC:(27.3385315;-82.3969252)},
{TIME:1552586140,LOC:(27.3404113;-82.4063668)},
{TIME:1552586079,LOC:(27.3385315;-82.3969252)},
{TIME:1552586059,LOC:(27.3392047;-82.3972453)},
{TIME:1552585979,LOC:(27.3405309;-82.3992864)},
{TIME:1552585959,LOC:(27.3405136;-82.399292)},
{TIME:1552585939,LOC:(27.3404838;-82.39929)},
{TIME:1552585919,LOC:(27.3404745;-82.3992822)},
{TIME:1552585899,LOC:(27.340514;-82.3992826)},
{TIME:1552585897,INF:PEER[72ec1bef-1ca9-4d29-836f-5328eaadb4a0]},
{TIME:1552585879,LOC:(27.3405309;-82.3992864)},
{TIME:1552585859,LOC:(27.3404575;-82.3991964)},
{TIME:1552585839,LOC:(27.3405309;-82.3992864)},
{TIME:1552585779,LOC:(27.3385315;-82.3969252)},
{TIME:1552585759,LOC:(27.3379679;-82.3943257)},
{TIME:1552585739,LOC:(27.3429424;-82.3973805)},
{TIME:1552585639,LOC:(27.3385315;-82.3969252)},
{TIME:1552585619,LOC:(27.3419156;-82.397431)},
{TIME:1552585599,LOC:(27.3410507;-82.3983025)},
{TIME:1552585579,LOC:(27.3408622;-82.3983944)},
{TIME:1552585563,LOC:(27.3414;-82.39862)},
{TIME:1552585399,LOC:(27.3405309;-82.3992864)},
{TIME:1552585379,LOC:(27.3405536;-82.3987164)},
{TIME:1552585261,LOC:(27.3405309;-82.3992864)},
}
