{
{TIME:1552587693,OUT:RECOVERED},
{TIME:1552587685,LOC:(27.339503;-82.3994345)},
{TIME:1552587645,LOC:(27.3395041;-82.3993884)},
{TIME:1552587565,LOC:(27.3395241;-82.3993856)},
{TIME:1552587524,LOC:(27.3394913;-82.3992939)},
{TIME:1552587484,LOC:(27.3394797;-82.3992953)},
{TIME:1552587444,LOC:(27.3394672;-82.3992983)},
{TIME:1552587364,LOC:(27.3394926;-82.3992944)},
{TIME:1552587324,LOC:(27.3394673;-82.3992925)},
{TIME:1552587244,LOC:(27.3394834;-82.3992847)},
{TIME:1552587205,LOC:(27.3394766;-82.3992589)},
{TIME:1552587164,LOC:(27.3395647;-82.3994362)},
{TIME:1552587143,LOC:(27.340073;-82.3995339)},
{TIME:1552587120,LOC:(27.3403042;-82.4111097)},
{TIME:1552587102,LOC:(27.3404522;-82.3992014)},
{TIME:1552587082,LOC:(27.3404741;-82.3992442)},
{TIME:1552587062,LOC:(27.3404452;-82.3992256)},
{TIME:1552587041,LOC:(27.340393;-82.3992471)},
{TIME:1552587021,LOC:(27.3403728;-82.3992316)},
{TIME:1552587001,LOC:(27.3404039;-82.3992361)},
{TIME:1552586981,LOC:(27.3404443;-82.3992516)},
{TIME:1552586961,LOC:(27.3404189;-82.3992403)},
{TIME:1552586941,LOC:(27.340409;-82.3992598)},
{TIME:1552586854,LOC:(27.3404438;-82.3992264)},
{TIME:1552586828,LOC:(27.3403738;-82.399232)},
{TIME:1552586799,LOC:(27.3405212;-82.3992848)},
{TIME:1552586718,LOC:(27.3405309;-82.3992864)},
{TIME:1552586676,LOC:(27.3403042;-82.4111097)},
{TIME:1552586638,LOC:(27.3405309;-82.3992864)},
{TIME:1552586616,LOC:(27.3403042;-82.4111097)},
{TIME:1552586575,LOC:(27.3405309;-82.3992864)},
{TIME:1552586547,LOC:(27.3403042;-82.4111097)},
{TIME:1552586528,LOC:(27.3405309;-82.3992864)},
{TIME:1552586508,LOC:(27.3404846;-82.3992618)},
{TIME:1552586483,LOC:(27.3404521;-82.3992513)},
{TIME:1552586459,LOC:(27.3404543;-82.3992292)},
{TIME:1552586414,LOC:(27.3404994;-82.3992888)},
{TIME:1552586126,LOC:(27.3405309;-82.3992864)},
{TIME:1552585996,LOC:(27.3403042;-82.4111097)},
{TIME:1552585942,LOC:(27.3405309;-82.3992864)},
{TIME:1552585902,LOC:(27.3396459;-82.3979813)},
{TIME:1552585886,INF:PEER[b607362e-e567-44e2-b541-3cd8d9eaca1f]},
{TIME:1552585822,LOC:(27.3405309;-82.3992864)},
{TIME:1552585780,LOC:(27.3403042;-82.4111097)},
{TIME:1552585742,LOC:(27.3405309;-82.3992864)},
{TIME:1552585701,LOC:(27.340006;-82.3995987)},
{TIME:1552585621,LOC:(27.3405309;-82.3992864)},
{TIME:1552585579,LOC:(27.3403042;-82.4111097)},
{TIME:1552585538,LOC:(27.3421444;-82.4046729)},
{TIME:1552585501,LOC:(27.3405309;-82.3992864)},
{TIME:1552585438,LOC:(27.3403042;-82.4111097)},
{TIME:1552585418,LOC:(27.3405309;-82.3992864)},
{TIME:1552585377,LOC:(27.3403042;-82.4111097)},
{TIME:1552585313,LOC:(27.3405309;-82.3992864)},
}
